agro_ecological_zone,soil_ph,nitrogen_N,phosphorus_P,potassium_K,soil_moisture,soil_temp,ambient_temp,humidity,rainfall,altitude,soil_type
Wet,4.64,102.62,9.6,61.05,15.92,26.27,27.94,41.21,27.45,138.8,Bog and Half-Bog
Dry,6.92,60.98,18.7,161.84,28.62,30.11,31.68,77.48,2.94,21.2,Reddish Brown Earths
Wet,4.99,36.64,10.72,86.14,20.61,20.51,22.48,91.15,17.51,128.19,Red Yellow Podzolic
Intermediate,6.22,40.52,15.02,130.13,11.22,24.41,25.9,53.74,9.45,313.8,Reddish Brown Latosolic
Intermediate,6.08,40.47,15.78,130.86,60.5,24.43,25.86,43.76,12.3,231.98,Reddish Brown Latosolic
Wet,4.32,104.49,12.22,68.48,63.35,26.36,27.74,40.55,23.14,333.93,Bog and Half-Bog
Intermediate,6.42,83.83,23.2,197.37,63.71,29.03,29.67,72.91,12.39,307.61,Alluvial Soils
Wet,5.61,40.65,14.82,131.17,58.78,23.92,25.47,45.21,15.8,31.16,Immature Brown Loams
Dry,6.57,21.5,12.37,74.0,16.68,31.43,33.09,64.72,0.4,13.35,Red Yellow Latosols
Dry,6.9,56.71,18.4,172.1,22.76,32.18,33.06,62.77,3.26,95.16,Reddish Brown Earths
Dry,7.92,38.01,23.74,313.57,45.71,30.83,31.58,59.55,0.47,85.27,Grumusols
Dry/Wet,7.6,9.21,5.79,47.03,21.63,29.13,30.63,55.81,15.1,333.94,Regosols
Dry,7.34,40.35,22.84,295.1,20.27,28.66,30.43,44.4,0.87,128.05,Grumusols
Dry,6.66,49.78,19.13,146.84,57.17,31.92,32.93,91.26,2.14,108.02,Reddish Brown Earths
Dry,6.33,20.96,9.83,66.2,64.02,30.2,30.98,89.03,1.55,60.63,Red Yellow Latosols
Dry,6.64,53.03,16.95,158.98,45.87,29.06,30.24,53.9,1.7,101.84,Reddish Brown Earths
Intermediate,6.42,94.95,27.72,201.79,23.04,27.0,28.0,92.54,8.99,579.01,Alluvial Soils
Dry,6.21,26.29,12.2,106.58,35.01,30.48,31.46,51.77,0.96,104.66,Non-Calcic Brown
Dry,6.5,22.44,12.77,67.42,66.84,33.21,34.5,47.78,1.29,119.18,Red Yellow Latosols
Dry/Wet,6.93,14.84,7.67,46.16,38.79,29.41,30.98,64.76,14.51,285.91,Regosols
Intermediate,6.0,56.64,15.85,178.42,69.19,25.75,27.26,80.13,11.59,553.62,Reddish Brown Latosolic
Intermediate,6.4,74.75,31.6,209.68,48.58,30.19,31.56,93.01,12.97,357.77,Alluvial Soils
Dry,6.71,19.62,9.72,75.3,30.19,33.25,34.08,50.62,0.7,82.08,Red Yellow Latosols
Wet,5.36,35.9,7.28,87.25,68.11,21.27,22.69,43.65,18.32,271.23,Red Yellow Podzolic
Dry,6.24,24.8,10.75,109.07,57.76,28.48,30.21,93.79,4.95,73.35,Non-Calcic Brown
Wet,4.55,128.6,8.21,75.37,57.73,26.69,27.51,77.06,25.78,408.89,Bog and Half-Bog
Intermediate,6.06,39.08,13.51,136.52,45.6,25.9,27.84,41.36,11.96,613.89,Reddish Brown Latosolic
Wet,5.36,42.74,15.3,122.53,39.26,24.66,26.59,45.78,25.41,262.62,Immature Brown Loams
Dry,6.64,55.2,13.0,130.77,39.1,28.01,28.57,43.25,0.02,35.48,Low Humic Gley
Wet,5.74,42.67,14.09,122.22,64.14,20.82,22.37,71.78,28.68,76.7,Immature Brown Loams
Dry,6.9,46.73,14.09,125.36,6.76,27.37,29.16,67.83,4.31,95.01,Low Humic Gley
Intermediate,6.21,82.82,22.7,196.67,8.19,28.06,30.03,63.44,13.21,252.95,Alluvial Soils
Dry,6.46,23.37,10.54,76.65,34.57,33.46,34.22,66.87,3.88,114.17,Red Yellow Latosols
Intermediate,5.88,83.92,29.08,197.03,24.67,27.95,28.51,75.14,6.93,81.54,Alluvial Soils
Wet,4.54,104.69,7.75,52.26,9.73,28.22,28.88,56.38,11.69,165.05,Bog and Half-Bog
Dry,8.62,13.62,10.39,442.01,32.62,31.4,33.28,60.15,0.94,141.62,Solonchaks
Dry,7.95,27.09,17.27,253.48,50.16,33.05,33.94,89.19,2.53,140.03,Calcic Red Yellow Latosols
Wet,5.5,39.04,15.57,126.38,30.0,25.57,26.4,47.02,17.56,134.47,Immature Brown Loams
Dry,6.21,27.46,10.94,109.73,60.1,30.23,31.07,74.46,4.13,108.51,Non-Calcic Brown
Dry,6.13,23.21,10.6,93.05,34.41,28.01,29.31,83.46,1.79,29.83,Non-Calcic Brown
Wet,5.44,37.1,15.51,138.82,42.82,22.66,24.59,75.45,12.11,194.5,Immature Brown Loams
Dry,7.62,42.7,25.42,379.29,64.54,28.22,28.82,59.73,1.25,24.02,Grumusols
Intermediate,6.28,47.89,13.09,130.96,36.25,23.0,24.36,64.57,12.99,205.84,Reddish Brown Latosolic
Dry,5.89,26.09,9.01,112.26,21.41,31.25,32.9,85.12,1.26,118.16,Non-Calcic Brown
Intermediate,6.26,44.03,15.04,127.06,47.79,24.47,25.11,66.68,13.12,458.74,Reddish Brown Latosolic
Dry,8.06,33.7,12.91,232.87,63.68,32.55,34.08,40.33,1.75,23.63,Calcic Red Yellow Latosols
Dry,8.45,16.9,11.29,438.59,20.74,30.91,32.22,43.15,2.02,41.2,Solonchaks
Intermediate,5.79,40.52,16.72,129.14,59.63,23.56,24.13,64.37,5.63,77.45,Reddish Brown Latosolic
Dry,8.07,29.68,16.66,214.98,19.51,30.27,31.19,92.62,3.03,43.82,Calcic Red Yellow Latosols
Dry,6.88,49.18,19.66,166.18,24.72,32.21,32.81,66.09,0.22,44.02,Reddish Brown Earths
Intermediate,6.42,90.07,25.44,193.46,53.76,24.98,25.67,93.35,8.53,610.71,Alluvial Soils
Dry/Wet,7.28,6.53,7.48,64.13,18.65,31.18,32.1,48.84,25.97,486.49,Regosols
Intermediate,6.24,84.64,33.48,183.14,64.17,25.97,27.12,57.52,12.24,324.59,Alluvial Soils
Dry,8.06,39.71,25.24,299.85,32.77,31.21,32.52,84.29,1.77,132.88,Grumusols
Dry,9.17,15.71,13.63,502.62,60.71,30.13,31.56,57.37,2.25,145.27,Solonchaks
Dry,8.16,7.53,10.36,398.28,39.12,30.82,31.93,89.97,0.3,148.72,Solonchaks
Dry,8.06,42.01,24.7,329.87,61.08,28.7,30.29,51.14,3.12,25.48,Grumusols
Intermediate,6.19,75.94,27.17,205.18,25.9,29.94,30.51,72.89,12.15,737.76,Alluvial Soils
Dry,6.65,18.69,8.62,80.24,7.32,31.75,32.95,60.77,1.21,60.54,Red Yellow Latosols
Dry,8.5,12.62,9.73,530.59,41.73,31.96,33.35,58.51,1.04,84.97,Solonchaks
Dry,7.8,37.03,19.22,334.01,32.44,28.28,28.92,65.22,4.98,97.06,Grumusols
Wet,4.86,33.62,12.69,103.96,6.6,24.25,25.4,86.01,23.8,407.25,Red Yellow Podzolic
Wet,5.04,35.81,10.57,95.17,30.92,22.33,23.9,72.9,15.02,156.13,Red Yellow Podzolic
Dry,8.33,14.06,10.12,489.07,21.24,30.66,32.49,40.14,2.0,87.29,Solonchaks
Dry,8.07,15.67,13.77,316.81,52.12,32.87,33.85,62.05,2.16,121.72,Solodized Solonetz
Dry,6.05,22.06,7.61,124.09,41.32,29.62,30.74,43.74,4.69,43.68,Non-Calcic Brown
Dry/Wet,7.21,15.56,6.46,59.92,11.92,29.81,31.11,43.87,22.35,499.8,Regosols
Wet,5.45,33.63,16.11,122.2,29.52,20.98,22.09,63.68,10.13,486.7,Immature Brown Loams
Dry,7.5,38.97,23.88,283.53,31.82,30.44,31.37,51.8,2.75,41.0,Grumusols
Dry,6.94,58.94,15.54,159.44,5.9,30.43,32.26,51.62,3.04,129.12,Reddish Brown Earths
Wet,5.28,41.41,13.84,134.72,28.72,23.13,23.88,89.88,29.5,240.98,Immature Brown Loams
Dry,8.2,32.07,16.87,173.83,9.33,33.31,34.4,57.62,2.95,69.95,Calcic Red Yellow Latosols
Dry,8.1,22.98,10.24,369.63,29.05,29.5,30.29,51.89,4.71,41.08,Solodized Solonetz
Dry,8.03,28.14,17.28,229.3,53.82,30.7,32.29,65.72,3.67,117.04,Calcic Red Yellow Latosols
Intermediate,6.59,84.51,25.43,228.08,57.89,29.11,30.64,66.77,13.0,751.0,Alluvial Soils
Wet,4.79,31.6,8.63,90.37,35.39,22.35,24.31,42.16,22.71,304.36,Red Yellow Podzolic
Wet,5.44,38.63,17.32,118.83,11.7,23.68,24.3,45.04,24.92,47.87,Immature Brown Loams
Dry,6.79,55.39,22.01,172.1,11.92,30.35,31.25,75.06,1.63,124.62,Reddish Brown Earths
Dry,8.71,16.12,5.13,409.23,53.47,30.94,31.89,43.57,0.27,117.59,Solonchaks
Dry,7.3,38.65,13.57,118.58,20.44,28.87,30.33,80.51,2.25,143.78,Low Humic Gley
Wet,5.82,39.58,14.44,134.88,9.33,23.97,24.69,47.02,27.9,31.81,Immature Brown Loams
Dry,6.14,27.82,12.37,105.57,67.56,30.57,31.79,56.18,2.64,29.43,Non-Calcic Brown
Wet,4.45,114.32,10.9,71.32,42.65,22.92,24.77,88.4,28.06,254.02,Bog and Half-Bog
Dry,8.07,16.75,13.38,303.8,44.96,32.94,34.76,82.09,4.39,68.29,Solodized Solonetz
Dry,7.74,34.54,25.37,276.14,50.42,28.94,30.51,57.86,3.9,80.71,Grumusols
Wet,4.38,141.5,8.98,56.29,41.01,23.73,25.38,71.09,12.7,393.43,Bog and Half-Bog
Wet,5.13,34.3,10.3,99.44,26.35,19.17,20.83,88.07,23.42,233.8,Red Yellow Podzolic
Dry,8.84,13.62,9.61,361.52,54.91,29.19,31.13,45.9,4.57,52.44,Solonchaks
Wet,5.63,46.2,14.75,114.35,18.62,24.06,24.97,64.87,12.09,99.42,Immature Brown Loams
Wet,5.2,29.64,10.08,76.14,60.71,20.94,22.55,70.87,21.38,174.06,Red Yellow Podzolic
Dry,8.85,13.17,7.87,471.62,47.01,31.05,32.48,72.81,2.67,85.42,Solonchaks
Dry,6.03,26.04,8.21,108.95,32.59,27.92,29.42,41.72,1.57,70.12,Non-Calcic Brown
Dry,6.87,20.35,10.28,74.51,54.46,35.47,36.25,76.32,2.55,85.66,Red Yellow Latosols
Dry,6.01,31.1,9.91,92.95,37.77,29.14,29.97,45.95,2.3,18.56,Non-Calcic Brown
Wet,4.75,106.83,9.3,77.69,38.7,23.71,24.95,57.33,20.19,474.4,Bog and Half-Bog
Dry,5.82,20.79,9.12,107.0,40.41,29.76,31.58,93.29,3.1,85.88,Non-Calcic Brown
Intermediate,5.82,41.83,14.47,149.99,57.83,25.35,27.24,56.57,7.15,131.91,Reddish Brown Latosolic
Dry,7.46,43.72,19.3,263.71,5.67,30.84,32.59,69.35,4.85,11.34,Grumusols
Intermediate,6.25,66.14,28.75,187.33,43.89,25.56,26.54,48.0,6.52,586.62,Alluvial Soils
Dry,6.49,52.44,15.52,146.99,24.86,29.93,30.52,60.28,3.09,118.84,Reddish Brown Earths
Intermediate,5.72,45.44,15.61,127.47,60.03,24.75,25.99,46.64,6.95,416.31,Reddish Brown Latosolic
Dry,5.85,22.98,8.51,114.33,44.59,29.34,30.4,70.17,1.57,81.58,Non-Calcic Brown
Intermediate,6.35,72.91,24.49,191.15,9.4,27.46,29.39,85.01,13.5,469.07,Alluvial Soils
Dry,7.18,57.38,17.19,163.03,63.43,30.93,31.84,50.14,0.1,122.02,Reddish Brown Earths
Dry,6.65,42.65,14.39,145.47,66.21,28.17,29.77,62.79,0.69,16.57,Low Humic Gley
Dry/Wet,7.55,9.85,7.25,49.13,43.58,32.75,33.84,76.65,15.77,216.96,Regosols
Wet,4.65,129.5,12.17,43.48,66.35,26.14,27.42,89.2,22.48,42.86,Bog and Half-Bog
Dry,8.04,25.42,18.14,288.3,14.22,27.8,29.64,73.68,4.33,74.4,Calcic Red Yellow Latosols
Dry,6.77,57.75,17.15,157.75,13.43,29.63,30.91,56.45,1.02,57.77,Reddish Brown Earths
Dry,8.33,28.63,19.55,237.9,61.95,28.35,29.63,92.98,1.58,120.75,Calcic Red Yellow Latosols
Intermediate,6.37,70.59,34.59,213.89,15.97,26.57,27.56,87.93,13.25,656.48,Alluvial Soils
Wet,4.38,115.56,7.15,60.04,41.24,26.58,27.14,49.45,10.51,83.44,Bog and Half-Bog
Dry,6.33,24.2,7.97,71.91,63.09,32.48,33.84,93.12,1.2,108.14,Red Yellow Latosols
Dry,8.27,27.67,16.05,283.67,63.19,33.68,34.53,54.67,3.32,58.03,Solodized Solonetz
Dry,8.62,9.19,7.65,480.95,5.77,29.77,30.92,83.81,4.4,130.18,Solonchaks
Dry,7.0,54.29,16.22,162.83,62.9,29.47,30.34,75.52,3.99,46.73,Reddish Brown Earths
Dry,8.16,25.4,17.19,256.65,39.75,31.27,33.12,69.06,0.16,102.09,Calcic Red Yellow Latosols
Dry,6.53,25.76,7.75,80.81,60.73,30.7,32.1,63.73,2.19,102.43,Red Yellow Latosols
Dry,8.75,22.53,13.35,344.81,41.56,29.18,30.87,67.74,1.79,31.22,Solodized Solonetz
Wet,5.03,30.2,10.59,91.05,9.9,22.79,24.17,63.15,12.35,168.96,Red Yellow Podzolic
Dry,8.66,20.14,14.6,314.12,28.32,30.48,32.43,53.26,4.41,87.45,Solodized Solonetz
Dry/Wet,7.4,10.49,4.82,59.65,14.43,30.41,31.61,89.34,17.88,343.78,Regosols
Dry,6.43,59.71,16.94,179.52,61.45,31.17,32.04,65.33,2.82,47.33,Reddish Brown Earths
Dry,8.59,22.83,16.74,288.2,16.91,32.15,33.89,77.79,3.63,100.74,Solodized Solonetz
Dry,8.53,20.43,15.06,266.18,52.51,28.81,30.1,69.71,3.67,139.17,Solodized Solonetz
Intermediate,6.26,50.81,13.71,152.4,11.17,24.55,26.03,43.91,13.71,515.59,Reddish Brown Latosolic
Dry,5.93,27.65,11.72,102.75,47.06,28.39,30.2,61.11,4.4,59.19,Non-Calcic Brown
Dry,6.57,18.91,10.62,75.85,5.77,31.33,32.85,44.85,2.96,115.75,Red Yellow Latosols
Wet,4.63,105.31,9.97,74.72,21.06,25.06,26.1,64.63,11.18,212.38,Bog and Half-Bog
Dry,8.29,13.68,13.32,344.45,59.92,28.73,30.03,55.92,3.56,16.69,Solodized Solonetz
Dry,7.28,41.12,19.23,319.81,48.01,30.47,31.55,90.98,4.17,23.84,Grumusols
Intermediate,5.92,44.16,17.22,145.42,7.1,26.27,26.89,42.49,5.29,614.72,Reddish Brown Latosolic
Dry,6.2,39.06,15.25,117.44,44.19,29.7,30.31,60.91,4.52,105.61,Low Humic Gley
Dry,8.4,15.04,16.32,361.26,10.69,29.78,31.76,45.21,1.51,123.42,Solodized Solonetz
Dry,6.3,26.19,7.65,65.93,46.03,28.87,30.57,51.13,2.09,63.04,Red Yellow Latosols
Dry,7.65,35.07,21.9,303.02,68.32,29.04,30.54,73.04,2.19,24.02,Grumusols
Dry/Wet,7.38,12.8,5.36,49.39,22.24,30.63,32.22,88.04,15.38,70.32,Regosols
Dry,6.87,50.53,17.07,133.94,25.84,29.51,30.47,71.09,4.23,68.29,Low Humic Gley
Wet,5.56,35.07,15.32,120.67,42.62,24.02,25.15,58.4,11.44,353.17,Immature Brown Loams
Dry,5.87,23.9,10.31,94.57,29.37,28.17,30.12,49.34,4.23,96.2,Non-Calcic Brown
Wet,5.55,46.64,13.1,132.82,11.95,23.01,24.83,93.39,23.01,394.43,Immature Brown Loams
Dry,7.86,32.81,21.91,279.62,12.28,28.71,30.55,68.73,3.0,69.66,Calcic Red Yellow Latosols
Dry/Wet,7.22,10.37,2.93,42.8,59.86,30.85,32.16,48.62,28.16,86.3,Regosols
Intermediate,5.9,44.98,14.35,114.85,31.6,24.79,25.31,75.47,11.48,629.1,Reddish Brown Latosolic
Dry,6.52,22.48,9.84,78.49,27.33,31.82,33.35,46.28,2.14,146.83,Red Yellow Latosols
Intermediate,5.94,50.53,14.01,140.31,52.89,26.95,27.86,56.85,11.19,171.7,Reddish Brown Latosolic
Dry,8.02,30.86,12.21,216.17,49.54,31.18,32.63,50.92,4.22,19.84,Calcic Red Yellow Latosols
Dry,6.84,54.64,17.73,134.17,45.6,29.04,30.97,63.77,4.09,50.35,Reddish Brown Earths
Intermediate,5.92,43.88,15.56,150.12,27.24,26.77,28.69,81.79,8.55,201.4,Reddish Brown Latosolic
Wet,5.5,43.82,16.44,132.27,63.66,23.16,24.58,41.55,23.31,277.29,Immature Brown Loams
Dry,6.48,21.94,12.12,82.12,58.03,31.14,32.59,58.3,4.64,141.12,Red Yellow Latosols
Dry,7.77,38.87,21.33,218.37,36.23,28.24,29.03,91.13,1.72,42.07,Grumusols
Intermediate,6.01,53.14,13.5,133.22,61.81,23.03,24.98,66.75,5.19,395.31,Reddish Brown Latosolic
Dry,6.62,13.21,10.26,71.97,15.37,31.06,32.33,62.27,4.39,31.02,Red Yellow Latosols
Dry,6.16,27.31,6.34,113.83,48.2,28.93,30.08,72.71,2.68,141.53,Non-Calcic Brown
Wet,5.41,34.16,15.62,126.82,14.32,20.31,22.15,90.3,16.23,10.34,Immature Brown Loams
Dry,8.47,16.75,9.51,418.59,55.17,30.17,31.99,54.31,2.54,119.6,Solonchaks
Dry,6.48,52.1,13.98,148.52,10.97,31.77,32.83,56.73,3.22,34.97,Reddish Brown Earths
Dry,7.81,30.56,19.53,224.62,25.41,27.94,29.57,44.83,2.04,129.29,Calcic Red Yellow Latosols
Dry,6.75,53.24,16.53,143.1,35.55,31.56,32.65,57.68,0.08,64.15,Reddish Brown Earths
Dry,8.11,22.18,15.86,420.98,21.25,33.67,35.21,49.58,0.48,104.19,Solodized Solonetz
Dry,9.21,11.33,8.63,347.23,27.66,31.04,32.58,81.2,3.98,15.97,Solonchaks
Dry,6.51,49.78,18.54,151.31,11.33,29.19,30.91,79.68,2.15,51.57,Reddish Brown Earths
Dry,8.15,21.64,15.83,363.2,20.73,30.96,32.79,79.14,3.31,134.39,Solodized Solonetz
Dry/Wet,7.28,12.78,8.24,48.94,12.91,31.07,31.64,70.34,19.5,145.79,Regosols
Dry,6.73,57.36,12.68,159.6,15.41,30.48,32.47,61.06,3.12,30.95,Reddish Brown Earths
Dry/Wet,7.47,12.0,7.48,50.7,50.81,31.56,32.8,86.64,22.63,208.62,Regosols
Dry,8.0,40.82,24.78,308.54,40.37,29.92,31.3,53.5,0.7,75.11,Grumusols
Wet,4.71,98.79,11.03,54.01,35.01,24.95,25.99,78.76,20.79,60.7,Bog and Half-Bog
Dry,7.75,39.37,22.7,217.07,16.1,32.58,33.56,47.86,4.08,126.74,Grumusols
Dry,5.73,30.14,12.2,111.13,21.65,27.25,28.55,77.35,1.38,144.43,Non-Calcic Brown
Dry,5.84,28.01,8.82,111.22,57.85,28.96,30.56,63.9,1.09,74.77,Non-Calcic Brown
Dry,7.62,37.96,19.14,301.2,14.03,29.02,30.83,48.61,2.69,57.53,Grumusols
Dry,6.52,59.24,17.74,143.93,29.76,32.05,33.19,87.86,3.28,14.16,Reddish Brown Earths
Wet,4.49,135.19,9.25,50.44,43.36,25.24,27.11,40.22,29.42,330.74,Bog and Half-Bog
Dry,7.74,37.13,19.57,321.22,32.0,29.97,31.79,61.33,4.28,149.3,Grumusols
Dry,6.77,51.09,16.64,125.48,10.93,30.46,31.34,93.65,1.0,42.5,Low Humic Gley
Wet,4.3,99.69,5.37,56.53,8.77,26.59,28.38,78.1,14.9,28.69,Bog and Half-Bog
Intermediate,6.35,83.56,30.68,184.54,38.47,25.94,26.77,59.88,9.28,556.99,Alluvial Soils
Dry,6.59,54.66,17.79,166.55,40.68,31.88,33.41,60.34,3.6,88.85,Reddish Brown Earths
Dry,6.16,24.02,10.24,108.22,21.19,30.34,31.82,82.04,3.18,81.58,Non-Calcic Brown
Dry,7.9,25.29,16.27,247.52,59.83,29.19,31.04,58.41,4.19,27.18,Calcic Red Yellow Latosols
Wet,5.48,37.46,14.64,119.37,59.98,22.8,24.5,62.56,11.08,339.9,Immature Brown Loams
Wet,4.36,122.93,8.81,50.95,44.39,23.38,25.22,68.97,22.86,102.91,Bog and Half-Bog
Dry,8.65,14.91,15.03,302.96,25.55,31.87,32.98,67.23,3.73,62.49,Solodized Solonetz
Wet,4.56,113.54,10.45,58.89,21.66,25.88,26.43,54.91,19.94,282.42,Bog and Half-Bog
Intermediate,6.0,46.68,15.63,146.47,42.65,26.81,27.34,85.17,12.9,425.85,Reddish Brown Latosolic
Dry/Wet,7.17,15.79,5.94,46.14,17.58,32.81,33.77,68.61,29.89,272.93,Regosols
Dry,6.71,61.79,18.32,163.98,36.62,32.94,33.75,56.38,2.0,143.47,Reddish Brown Earths
Dry,7.76,35.81,24.6,303.2,15.71,29.9,31.29,86.92,4.63,19.56,Grumusols
Wet,5.64,44.99,13.08,117.24,44.28,23.63,24.54,63.99,23.25,251.65,Immature Brown Loams
Dry,7.66,30.67,16.5,241.37,42.34,31.06,32.34,50.47,4.06,19.29,Calcic Red Yellow Latosols
Intermediate,5.81,84.44,28.13,153.77,27.17,29.18,30.26,79.12,8.55,56.88,Alluvial Soils
Intermediate,6.08,81.72,26.12,172.28,36.9,28.25,29.22,60.76,14.85,585.68,Alluvial Soils
Dry,8.23,25.09,14.73,392.28,54.4,30.9,32.59,54.11,0.62,51.05,Solodized Solonetz
Dry,8.71,11.74,7.8,447.77,25.63,31.21,32.86,41.73,3.31,67.96,Solonchaks
Wet,4.26,126.98,8.13,55.01,14.73,26.29,26.94,40.96,12.59,455.37,Bog and Half-Bog
Wet,5.53,37.81,16.59,125.22,61.18,21.5,22.82,82.67,14.88,425.01,Immature Brown Loams
Dry,8.01,26.29,23.04,235.05,53.36,31.01,32.5,66.67,4.02,139.04,Calcic Red Yellow Latosols
Wet,4.63,137.59,8.6,60.36,45.85,26.16,27.83,80.83,28.26,297.84,Bog and Half-Bog
Dry,6.51,18.44,9.16,47.23,35.77,32.64,33.93,55.13,0.07,20.2,Red Yellow Latosols
Intermediate,6.31,42.33,15.49,125.02,21.84,23.56,25.37,94.64,11.39,221.2,Reddish Brown Latosolic
Dry,6.19,19.4,9.46,102.84,63.86,30.74,31.46,76.15,0.74,23.57,Non-Calcic Brown
Dry,7.16,55.66,19.74,160.19,25.17,27.42,28.74,53.98,2.7,139.61,Reddish Brown Earths
Dry,6.03,24.05,12.01,106.18,40.1,31.48,31.99,52.37,0.91,74.78,Non-Calcic Brown
Dry,6.38,18.19,11.53,71.84,40.35,29.76,30.81,89.5,1.67,20.23,Red Yellow Latosols
Dry,7.91,42.93,25.44,271.45,40.84,27.55,29.38,75.31,2.66,146.7,Grumusols
Dry,7.82,42.92,20.9,325.99,45.26,31.82,32.49,93.51,4.43,79.13,Grumusols
Wet,4.34,100.14,10.54,61.89,17.25,25.57,26.87,52.57,22.12,246.18,Bog and Half-Bog
