supplierName,seedType,region,price,rating,distance_km,stock,deliveryTime_days,organicCertified,reviews,
Green Grove Fertilizer,Rice Seed,Matale,5000,4.2,17,257,5,FALSE,314,6254.0
Land mark agro Seeds,Chili Seed,Monaragala,6305,4.5,13,343,2,FALSE,458,6663.0
Green Harvest Agriculture,Chili Seed,Monaragala,4786,4.6,49,475,3,TRUE,343,7867.6
Janogali,Corn Seed,Jaffna,4355,4.1,45,84,1,TRUE,364,4225.0
Saduthara Plant nursery,Potato Seed,Matara,7126,4.4,55,286,3,TRUE,384,4927.6
Land mark agro Seeds,Bean Seed,Monaragala,6301,4.3,28,124,2,FALSE,342,4180.6
Land mark agro Seeds,Carrot Seed,Polonnaruwa,4962,3.6,22,51,5,TRUE,14,4127.2
Purahanda Enterprises,Cabbage Seed,Colombo,6088,4.4,55,286,1,FALSE,10,5342.8
Green Grove Fertilizer,Onion Seed,Polonnaruwa,6692,3.6,16,520,4,TRUE,264,8245.2
Land mark agro Seeds,Pumpkin Seed,Badulla,3800,4.7,14,203,5,FALSE,52,6239.0
Green Harvest Agriculture,Cabbage Seed,Galle,5458,4.7,42,409,5,FALSE,104,7075.8
Janogali,Potato Seed,Ampara,8286,4.9,15,289,4,TRUE,189,5278.6
Saduthara Plant nursery,Rice Seed,Kurunegala,4536,3.7,47,610,3,FALSE,367,9384.6
Land mark agro Seeds,Pumpkin Seed,Matale,6201,4.7,4,527,1,TRUE,66,8718.6
Land mark agro Seeds,Cabbage Seed,Anuradhapura,5553,4.5,30,371,2,TRUE,107,6903.8
Purahanda Enterprises,Corn Seed,Jaffna,3906,4.9,46,173,3,FALSE,367,5250.6
Green Grove Fertilizer,Chili Seed,Jaffna,6006,4.8,59,340,2,TRUE,331,5823.6
Land mark agro Seeds,Cabbage Seed,Badulla,4395,4.2,27,344,2,FALSE,316,7166.0
Green Harvest Agriculture,Corn Seed,Matale,4129,3.7,44,336,3,TRUE,420,6867.4
Janogali,Onion Seed,Matara,6689,4.9,57,495,2,FALSE,26,7137.4
Saduthara Plant nursery,Tomato Seed,Matara,6357,4.2,46,79,5,TRUE,307,3351.2
Land mark agro Seeds,Pumpkin Seed,Monaragala,5782,3.9,3,642,5,TRUE,499,10080.2
Land mark agro Seeds,Rice Seed,Matara,4913,3.6,16,273,4,TRUE,397,6486.8
Purahanda Enterprises,Tomato Seed,Nuwara Eliya,5599,3.6,57,76,2,TRUE,133,3422.4
Green Grove Fertilizer,Cabbage Seed,Ampara,5060,4.2,57,99,5,TRUE,90,3850.0
Land mark agro Seeds,Bean Seed,Polonnaruwa,3525,3.9,50,430,5,FALSE,78,7923.0
Green Harvest Agriculture,Pumpkin Seed,Nuwara Eliya,5016,4.0,40,471,4,TRUE,73,7933.6
Janogali,Potato Seed,Ampara,7191,4.9,8,602,1,TRUE,11,8986.6
Saduthara Plant nursery,Carrot Seed,Matale,4904,4.8,55,330,1,FALSE,68,6244.4
Land mark agro Seeds,Carrot Seed,Ratnapura,4526,4.8,35,406,1,FALSE,472,7555.6
Land mark agro Seeds,Bean Seed,Kurunegala,6455,3.5,19,453,5,FALSE,411,7613.0
Purahanda Enterprises,Chili Seed,Hambantota,5369,4.8,41,395,2,FALSE,385,6988.4
Green Grove Fertilizer,Potato Seed,Badulla,6794,4.1,51,162,3,TRUE,433,3909.4
Land mark agro Seeds,Rice Seed,Hambantota,5041,4.3,41,145,4,TRUE,79,4634.6
Green Harvest Agriculture,Pumpkin Seed,Ratnapura,4352,4.6,41,73,4,FALSE,481,4181.2
Janogali,Rice Seed,Badulla,5125,4.9,25,549,1,FALSE,359,8943.0
Saduthara Plant nursery,Carrot Seed,Anuradhapura,6700,5.0,26,573,4,TRUE,44,8530.0
Land mark agro Seeds,Bean Seed,Polonnaruwa,5871,4.7,14,382,5,TRUE,365,7200.6
Land mark agro Seeds,Carrot Seed,Badulla,4537,4.8,27,424,5,TRUE,145,7891.2
Purahanda Enterprises,Cabbage Seed,Ampara,4775,3.7,28,306,3,TRUE,304,6629.0
Green Grove Fertilizer,Cabbage Seed,Kandy,5329,3.8,22,422,5,FALSE,131,7684.4
Land mark agro Seeds,Carrot Seed,Jaffna,6905,4.2,7,429,3,FALSE,190,7412.0
Green Harvest Agriculture,Potato Seed,Colombo,7384,4.6,24,255,3,TRUE,425,5128.4
Janogali,Cabbage Seed,Hambantota,4884,5.0,19,500,3,TRUE,325,8666.4
Saduthara Plant nursery,Carrot Seed,Badulla,4687,3.9,2,699,2,FALSE,458,11108.2
Land mark agro Seeds,Chili Seed,Galle,4205,4.1,7,334,2,TRUE,319,7545.0
Land mark agro Seeds,Carrot Seed,Ratnapura,5049,4.7,10,540,2,TRUE,194,9189.4
Purahanda Enterprises,Rice Seed,Colombo,4182,4.5,41,377,1,TRUE,26,7292.2
Green Grove Fertilizer,Bean Seed,Monaragala,5648,4.2,57,429,2,TRUE,457,6914.8
Land mark agro Seeds,Carrot Seed,Ratnapura,6684,4.0,23,396,1,TRUE,393,6856.4
Green Harvest Agriculture,Carrot Seed,Galle,4570,4.0,45,539,1,TRUE,499,8692.0
Janogali,Corn Seed,Matale,3301,4.8,16,635,3,TRUE,160,10715.6
Saduthara Plant nursery,Bean Seed,Galle,6142,3.9,16,700,4,FALSE,469,10256.2
Land mark agro Seeds,Rice Seed,Badulla,4102,4.1,53,693,3,TRUE,244,10256.2
Land mark agro Seeds,Potato Seed,Nuwara Eliya,7405,4.4,60,479,2,TRUE,235,6646.0
Purahanda Enterprises,Tomato Seed,Polonnaruwa,5455,4.4,48,477,1,TRUE,425,7646.0
Green Grove Fertilizer,Chili Seed,Ampara,4009,3.7,56,219,1,FALSE,73,5505.4
Land mark agro Seeds,Pumpkin Seed,Galle,5818,4.4,18,146,3,FALSE,114,4790.8
Green Harvest Agriculture,Carrot Seed,Matara,7656,4.2,48,538,5,FALSE,88,7381.6
Janogali,Tomato Seed,Anuradhapura,5117,4.9,43,194,4,TRUE,372,5036.2
Saduthara Plant nursery,Pumpkin Seed,Kurunegala,5005,4.2,30,616,5,TRUE,138,9582.0
Land mark agro Seeds,Rice Seed,Kurunegala,4951,4.7,19,302,2,FALSE,459,6668.6
Land mark agro Seeds,Onion Seed,Ampara,5503,3.6,12,195,5,FALSE,287,5550.8
Purahanda Enterprises,Onion Seed,Galle,7064,4.5,25,345,1,TRUE,317,6139.4
Green Grove Fertilizer,Onion Seed,Monaragala,6702,3.8,2,149,3,FALSE,42,4805.2
Land mark agro Seeds,Rice Seed,Ampara,4284,3.8,33,146,3,TRUE,247,5122.4
Green Harvest Agriculture,Onion Seed,Ratnapura,6733,5.0,44,216,2,TRUE,445,4586.8
Janogali,Onion Seed,Badulla,7392,4.7,48,295,4,FALSE,52,5042.2
Saduthara Plant nursery,Onion Seed,Matale,7371,4.0,31,393,5,FALSE,53,6391.6
Land mark agro Seeds,Carrot Seed,Colombo,4893,4.3,39,328,4,FALSE,442,6563.8
Land mark agro Seeds,Onion Seed,Kurunegala,7395,4.3,39,532,1,FALSE,396,7603.0
Purahanda Enterprises,Potato Seed,Anuradhapura,7180,4.1,10,239,2,TRUE,233,5345.0
Green Grove Fertilizer,Chili Seed,Jaffna,4962,3.7,59,326,5,FALSE,154,6134.2
Land mark agro Seeds,Potato Seed,Galle,8747,4.6,54,483,3,FALSE,36,6263.2
Green Harvest Agriculture,Onion Seed,Galle,6922,4.0,50,237,2,FALSE,235,4631.2
Janogali,Carrot Seed,Nuwara Eliya,7492,4.5,10,403,1,FALSE,185,6848.2
Saduthara Plant nursery,Onion Seed,Kurunegala,8285,3.7,47,188,1,FALSE,404,3665.0
Land mark agro Seeds,Corn Seed,Colombo,4230,3.7,2,434,1,FALSE,206,8647.0
Land mark agro Seeds,Onion Seed,Polonnaruwa,6117,3.6,8,370,1,TRUE,335,7135.2
Purahanda Enterprises,Carrot Seed,Matara,7230,3.9,59,496,2,TRUE,360,6921.0
Green Grove Fertilizer,Pumpkin Seed,Colombo,5362,4.6,45,146,1,TRUE,271,4427.2
Land mark agro Seeds,Onion Seed,Nuwara Eliya,6464,3.7,14,69,4,TRUE,138,3863.4
Green Harvest Agriculture,Cabbage Seed,Kurunegala,4929,4.4,34,115,1,TRUE,51,4516.4
Janogali,Cabbage Seed,Monaragala,4609,4.7,44,194,3,TRUE,263,5225.4
Saduthara Plant nursery,Chili Seed,Nuwara Eliya,4982,4.1,19,164,1,FALSE,342,5294.2
Land mark agro Seeds,Rice Seed,Jaffna,4483,4.9,56,90,4,TRUE,179,3989.8
Land mark agro Seeds,Onion Seed,Jaffna,8138,4.7,28,314,5,FALSE,470,5333.8
Purahanda Enterprises,Potato Seed,Ratnapura,7123,3.9,12,224,2,TRUE,390,5183.8
Green Grove Fertilizer,Tomato Seed,Matara,4880,4.3,30,244,4,FALSE,261,5909.0
Land mark agro Seeds,Corn Seed,Kandy,4240,3.9,38,180,1,FALSE,455,5377.0
Green Harvest Agriculture,Rice Seed,Galle,5379,4.5,9,230,4,TRUE,193,5983.4
Janogali,Onion Seed,Matale,5209,3.8,53,170,3,TRUE,38,4592.4
Saduthara Plant nursery,Onion Seed,Matara,6884,3.7,15,665,3,FALSE,440,9635.4
Land mark agro Seeds,Pumpkin Seed,Hambantota,6140,3.6,53,399,2,FALSE,420,6516.0
Land mark agro Seeds,Pumpkin Seed,Ampara,5749,3.6,39,416,5,TRUE,408,7122.4
Purahanda Enterprises,Chili Seed,Ratnapura,6610,3.5,13,655,1,TRUE,12,9691.0
Green Grove Fertilizer,Chili Seed,Badulla,5560,3.6,41,688,4,TRUE,473,9878.0
Land mark agro Seeds,Tomato Seed,Jaffna,6989,4.0,34,651,2,TRUE,311,9064.4
Green Harvest Agriculture,Tomato Seed,Badulla,5294,3.8,8,177,3,FALSE,433,5528.4
Janogali,Tomato Seed,Galle,4991,4.4,54,290,3,TRUE,434,5841.6
Saduthara Plant nursery,Cabbage Seed,Galle,6009,4.2,58,519,4,TRUE,75,7650.4
Land mark agro Seeds,Rice Seed,Colombo,4723,4.5,52,112,3,FALSE,476,4205.8
Land mark agro Seeds,Tomato Seed,Matale,6593,4.8,27,556,4,FALSE,449,8388.8
Purahanda Enterprises,Onion Seed,Galle,8375,4.3,51,60,3,TRUE,58,2251.0
Green Grove Fertilizer,Chili Seed,Matale,6653,3.7,40,566,2,FALSE,30,8237.8
Land mark agro Seeds,Cabbage Seed,Anuradhapura,6754,4.4,21,561,2,FALSE,25,8506.4
Green Harvest Agriculture,Tomato Seed,Colombo,6174,4.1,26,357,4,TRUE,247,6607.4
Janogali,Tomato Seed,Nuwara Eliya,6111,4.7,40,153,2,TRUE,431,4294.6
Saduthara Plant nursery,Tomato Seed,Matale,7138,3.7,51,364,1,FALSE,98,5803.8
Land mark agro Seeds,Tomato Seed,Kandy,4732,4.9,22,120,3,FALSE,271,4870.2
Land mark agro Seeds,Rice Seed,Anuradhapura,4791,4.4,34,476,5,FALSE,37,8181.6
Purahanda Enterprises,Rice Seed,Matara,3647,4.2,28,347,3,TRUE,124,7475.2
Green Grove Fertilizer,Onion Seed,Polonnaruwa,7033,4.0,48,143,3,TRUE,259,3686.8
Land mark agro Seeds,Carrot Seed,Badulla,7729,3.6,27,176,3,TRUE,13,4170.4
Green Harvest Agriculture,Pumpkin Seed,Monaragala,5652,3.6,26,100,3,TRUE,194,4261.2
Janogali,Cabbage Seed,Polonnaruwa,4247,4.3,24,61,4,TRUE,400,4452.2
Saduthara Plant nursery,Tomato Seed,Galle,7205,3.7,36,405,2,TRUE,359,6487.0
Land mark agro Seeds,Tomato Seed,Badulla,6230,4.5,59,114,5,FALSE,427,3483.0
Land mark agro Seeds,Chili Seed,Ratnapura,6384,4.6,58,240,1,FALSE,13,4698.4
Purahanda Enterprises,Chili Seed,Polonnaruwa,4521,4.6,22,418,3,FALSE,315,7943.6
Green Grove Fertilizer,Bean Seed,Colombo,4819,3.8,20,53,5,TRUE,187,4238.4
Land mark agro Seeds,Tomato Seed,Jaffna,6413,4.9,22,178,4,TRUE,314,4777.8
